Carico (N)	Deformazione (mm)	Sforzo (MPa)
150.77	101.63	10.172
151.31	102.05	10.208
151.55	102.47	10.224
151.78	102.89	10.240
151.95	103.31	10.251
152.68	103.73	10.301
152.93	104.14	10.317
152.32	104.56	10.276
152.38	104.98	10.280
152.91	105.40	10.316
153.44	105.82	10.351
154.31	106.24	10.410
154.59	106.66	10.429
154.75	107.08	10.440
154.99	107.50	10.456
156.08	107.92	10.530
156.05	108.33	10.528
156.38	108.75	10.550
157.42	109.17	10.620
157.66	109.59	10.636
157.82	110.01	10.647
157.87	110.43	10.650
158.30	110.85	10.679
159.36	111.27	10.751
158.65	111.69	10.703
159.18	112.11	10.739
159.38	112.53	10.752
159.52	112.95	10.762
161.06	113.36	10.866
160.53	113.78	10.830
160.62	114.20	10.836
161.03	114.62	10.864
161.38	115.04	10.887
161.81	115.46	10.916
162.41	115.88	10.957
163.01	116.30	10.997
163.45	116.72	11.027
163.86	117.14	11.055
163.68	117.56	11.042
164.03	117.97	11.066
164.26	118.39	11.082
165.76	118.81	11.183
166.40	119.23	11.226
166.06	119.65	11.203
166.37	120.07	11.224
167.41	120.49	11.294
167.89	120.91	11.327
168.73	121.33	11.383
169.00	121.75	11.401
168.74	122.17	11.384
168.87	122.58	11.392
168.15	123.00	11.344
167.91	123.42	11.327
168.12	123.84	11.342
169.33	124.26	11.424
170.07	124.68	11.474
170.57	125.10	11.507
170.29	125.52	11.488
171.27	125.94	11.554
171.89	126.36	11.596
172.51	126.78	11.638
172.45	127.19	11.634
172.88	127.61	11.663
173.26	128.03	11.689
173.29	128.45	11.690
173.98	128.87	11.737
174.00	129.29	11.738
175.11	129.71	11.813
176.11	130.13	11.881
176.06	130.54	11.877
176.26	130.96	11.891
176.90	131.38	11.934
177.45	131.80	11.971
178.69	132.22	12.055
178.96	132.64	12.073
179.42	133.06	12.104
179.87	133.48	12.135
180.29	133.90	12.163
180.61	134.32	12.184
181.08	134.74	12.216
181.30	135.15	12.231
181.73	135.57	12.260
182.17	135.99	12.289
183.15	136.41	12.356
182.81	136.83	12.333
182.90	137.25	12.339
183.00	137.67	12.346
184.00	138.09	12.413
184.27	138.51	12.431
184.68	138.93	12.459
184.87	139.34	12.472
185.20	139.76	12.494
185.89	140.18	12.541
186.33	140.60	12.570
186.22	141.02	12.563
186.64	141.44	12.591
187.26	141.86	12.633
188.36	142.28	12.707
187.94	142.70	12.679
188.23	143.12	12.698
188.04	143.54	12.685
188.19	143.95	12.696
188.45	144.37	12.713
188.52	144.79	12.718
189.01	145.21	12.751
189.13	145.63	12.759
189.34	146.05	12.773
189.54	146.47	12.787
189.93	146.89	12.813
190.80	147.31	12.872
191.84	147.73	12.942
192.47	148.15	12.985
192.94	148.57	13.017
194.28	148.98	13.107
194.58	149.40	13.127
195.02	149.82	13.156
195.33	150.24	13.177
195.82	150.66	13.210
196.10	151.08	13.229
196.38	151.50	13.248
196.72	151.92	13.271
197.50	152.34	13.324
197.74	152.76	13.340
198.57	153.18	13.396
199.44	153.59	13.455
199.50	154.01	13.459
199.75	154.43	13.476
200.07	154.85	13.497
200.05	155.27	13.496
200.33	155.69	13.515
200.60	156.11	13.533
200.45	156.53	13.523
200.99	156.95	13.560
201.47	157.37	13.592
202.50	157.78	13.662
204.25	158.20	13.779
204.44	158.62	13.792
205.09	159.04	13.836
205.73	159.46	13.879
206.29	159.88	13.917
206.66	160.30	13.942
207.67	160.72	14.010
208.16	161.13	14.043
208.64	161.55	14.076
208.85	161.97	14.089
209.70	162.39	14.147
209.78	162.81	14.152
209.80	163.23	14.154
210.32	163.65	14.189
210.15	164.07	14.177
210.49	164.49	14.200
210.89	164.91	14.227
210.99	165.33	14.234
210.82	165.75	14.223
211.07	166.16	14.239
212.59	166.58	14.342
213.13	167.00	14.378
213.83	167.42	14.425
213.44	167.84	14.399
214.19	168.26	14.450
215.58	168.68	14.544
215.84	169.10	14.561
216.66	169.52	14.616
216.90	169.94	14.633
217.14	170.35	14.649
217.38	170.77	14.665
216.56	171.20	14.609
216.20	171.61	14.585
216.74	172.03	14.622
216.49	172.45	14.605
216.48	172.87	14.604
217.24	173.29	14.656
218.34	173.71	14.730
219.66	174.13	14.819
220.13	174.55	14.851
220.81	174.96	14.897
222.42	175.38	15.005
223.24	175.80	15.061
224.35	176.22	15.136
224.92	176.64	15.174
226.28	177.06	15.265
226.81	177.48	15.301
227.38	177.90	15.340
227.70	178.32	15.361
228.45	178.73	15.412
228.85	179.15	15.439
229.11	179.57	15.456
229.34	179.99	15.472
229.57	180.41	15.487
229.80	180.83	15.503
230.03	181.25	15.519
230.31	181.67	15.538
230.38	182.09	15.542
231.48	182.51	15.616
232.00	182.93	15.651
232.52	183.35	15.686
233.00	183.76	15.718
233.31	184.18	15.740
234.30	184.60	15.806
234.63	185.02	15.829
233.92	185.44	15.781
234.73	185.86	15.835
235.77	186.28	15.906
235.59	186.70	15.894
236.28	187.12	15.940
236.72	187.54	15.970
237.50	187.96	16.022
238.24	188.37	16.072
238.75	188.79	16.107
238.87	189.21	16.115
239.86	189.63	16.182
240.51	190.05	16.226
240.71	190.47	16.239
241.36	190.89	16.283
242.03	191.31	16.328
243.90	191.73	16.454
243.62	192.14	16.436
244.60	192.56	16.502
